"","lsoa_code","lsoa_name","BAME_2011_perc","no_qualifications_perc","household_median_income","carownership_perc","la_code","la_name","food_pt","food_car","food_walk","avg_age","f_dairy","f_eggs","f_fats_oils","f_sweets","f_grains","f_sauces","f_fruit_veg","f_fish","f_meat_red","f_poultry","f_readymade","f_soft_drinks"
"2382","E01000541","Brent 004E",73.1863442389758,17.8,40083.3024880834,68.3,"E09000005","Brent",6.43096185295983,6.43096185295983,5.88981970250138,38.29152067,0.123380413213494,0.00930897630442395,0.0272265670596475,0.181802264503327,0.164176491187113,0.0127232403408428,0.255690440060698,0.00992179292634528,0.0369149060347846,0.0159040504260535,0.0528773199486401,0.0367106338274775
"2383","E01000518","Brent 005A",63.2972322503008,21.6,30433.2256688638,70.2,"E09000005","Brent",7.09001796882999,7.09001796882999,8.34129272061776,37.48980815,0.102090679401394,0.00877363467251575,0.030207957353472,0.175056223450037,0.166671294111114,0.0144098620096066,0.264958214176639,0.0250992586833995,0.0594163867062776,0.0239886720159924,0.0544187467029458,0.0227670266818447
"2384","E01000519","Brent 005B",67.7067082683307,18.2,28087.6030869284,66.9,"E09000005","Brent",7.07332279285719,7.07332279285719,7.38096999433436,35.47792608,0.104213070470594,0.0109473484668973,0.0327472631628833,0.161959148855504,0.172693237287332,0.0119188664044358,0.281053030662054,0.0201886166532392,0.0433865693569025,0.0188853608833705,0.0492393725415857,0.0314203118335624
"2385","E01000623","Brent 005C",62.4153498871332,20.5,34082.8728460138,82.4,"E09000005","Brent",6.32689461248664,6.32689461248664,4.74245843879482,37.213341,0.106729518855657,0.00998049414824447,0.0384915474642393,0.19037711313394,0.179648894668401,0.0165149544863459,0.248211963589077,0.0137516254876463,0.0319895968790637,0.0168400520156047,0.0523081924577373,0.030331599479844
"2386","E01000624","Brent 005D",61.2426035502959,21.5,30472.9832445455,82.5,"E09000005","Brent",6.46993274743568,6.46993274743568,6.47393946002993,40.20292398,0.119540119299596,0.0100699121287922,0.0334487845551921,0.1588737091912,0.148916041305882,0.0139984606503752,0.297703803476364,0.0218876274773908,0.03925341543198,0.0162433455198512,0.0477679430440639,0.0293759220062857
"2387","E01000629","Brent 005E",64.2072213500785,22.8,28937.5117731901,79.7,"E09000005","Brent",6.46535539670829,6.46535539670829,5.58575200520697,37.32919255,0.102018777934427,0.00911899691033986,0.029306776254612,0.155112937576867,0.172451030386657,0.0115187329393767,0.274349821519633,0.0227075021747608,0.0489846116927138,0.024027356990731,0.0532441431442541,0.0320664726880043
"2388","E01000480","Brent 006A",65.4088050314465,11.6,48974.6841709349,87.7,"E09000005","Brent",7.94216827749996,7.94216827749996,10.6511401305378,38.45220794,0.117002514165635,0.0132275132275132,0.0276745844121731,0.156253517955646,0.131937408533153,0.0148786070771886,0.303257157867087,0.0257608165409584,0.0395887275319899,0.0211640211640212,0.0485196442643251,0.0401516004352884
"2389","E01000484","Brent 006B",68.8110749185668,22.9,26266.7138824271,68.3,"E09000005","Brent",7.37397163344118,7.37397163344118,11.5500943541116,34.24594419,0.0958979607904889,0.0101173135973545,0.0282261239272498,0.208920557436422,0.177604125659397,0.0139949610266908,0.200122037634832,0.0149988189906307,0.0480473978426895,0.0193488701677033,0.0598968585150775,0.0441106999448862
"2390","E01000485","Brent 006C",68.6545454545455,21.8,29020.1829645881,63.7,"E09000005","Brent",6.98690581629766,6.98690581629766,9.84522535420042,37.84571429,0.148542641237855,0.0107472712006717,0.0316900563751949,0.182679620966775,0.182823557634641,0.0140818040062373,0.221086721842389,0.0164567590260285,0.0430370636919755,0.0158330334652753,0.0442365359241934,0.0308504258126424
"2391","E01000486","Brent 006D",65.5111633372503,13.5,40673.5121051121,85.2,"E09000005","Brent",7.19977444413793,7.19977444413793,9.9060339137048,37.06147292,0.12127608919927,0.00998333465597968,0.0350289659550829,0.173240219030236,0.157717641457027,0.0109673835409888,0.263439409570669,0.0132529164352036,0.0352670422982303,0.0150622966431236,0.0681374494087771,0.0323466391556226
"2392","E01000487","Brent 006E",68.3068783068783,18.1,33272.1704643324,66.2,"E09000005","Brent",6.33492569772415,6.33492569772415,6.11605344315571,36.45081967,0.139154704944179,0.00971010413734872,0.0461229946524064,0.19823623229196,0.1353668261563,0.0124425368233418,0.228914532320105,0.0172037714607374,0.0398958626512806,0.0141429777652688,0.0529951214935735,0.0435078337555118
"2393","E01000572","Brent 007A",69.8852126941256,14.4,41657.6327962159,80.7,"E09000005","Brent",6.75989169412256,6.75989169412256,6.59677477558312,37.20855615,0.12238172796485,0.0110223097609939,0.0336350895799402,0.155751676072876,0.163781674936555,0.014393394189614,0.302715806219461,0.0180106814135828,0.0405477065262679,0.013181318889436,0.0464565736146358,0.025017991742737
"2394","E01000573","Brent 007B",66.6040100250626,19.7,37396.8638531318,74.5,"E09000005","Brent",6.36242625402919,6.36242625402919,5.68126588087768,36.48345588,0.137893761581223,0.00959756734926592,0.0310376775787523,0.177638143203307,0.160973060293629,0.0106309687841498,0.256544875754264,0.0138143203306885,0.0368223499786193,0.0187200076020335,0.0543901743716444,0.0276999097258517
"2395","E01000574","Brent 007C",63.3210332103321,16.5,39186.7877451492,78,"E09000005","Brent",6.22899537160553,6.22899537160553,4.85675222309504,37.12689257,0.108089573497217,0.00960092844143169,0.0317569171524279,0.16669743887321,0.16958563025875,0.0149816685569594,0.257260042729407,0.0204151610265608,0.0432569303405164,0.0228681454909925,0.0528314826049113,0.0305831772742859
